Title,Artist,Count
Thought Contagion,Muse,44338959
Rx (Medicate),Theory of a Deadman,98690247
Bad To The Bone,George Thorogood & The Destroyers,69431912
Don't Bring Me Down,Electric Light Orchestra,83725892
Don't Speak,No Doubt,264998913
High,Sir Sly,42502192
Alone,Heart,118587842
Break Stuff,Limp Bizkit,150388849
Fly Away,Lenny Kravitz,110816048
Chlorine,Twenty One Pilots,157025155
Still Waiting,Sum 41,134681469
Eastbound & Down,WSTR,4171522
Centuries,Fall Out Boy,510752970
Wind Of Change,Scorpions,209339987
Shepherd of Fire,Avenged Sevenfold,82856007
Stronger,The Score,26789399
Scary Love,The Neighbourhood,52112348
You Could Be Mine,Guns N' Roses,67775430
When We Were Young,Andy Black,7964477
The Man,The Killers,93579753
Are You Ready,Disturbed,34355985
Hell Yeah,Rev Theory,58140716
Taipei Person / Allah Tea,Stone Sour,7667388
Ziggy Stardust - 2012 Remaster,David Bowie,65960622
Beyond,Leon Bridges,112469720
It's Not My Time,3 Doors Down,51724941
Where Do We Go When We Go,Neck Deep,12405906
Behind Blue Eyes,The Who,99025094
If You Only Knew,Shinedown,24306929
The Pretender,Foo Fighters,303622615
Red Flag,Billy Talent,77573409
Sabotage,Beastie Boys,139060696
Seven Nation Army,The White Stripes,603754396
Champion,Fall Out Boy,45763870
Meadow,Stone Temple Pilots,8149182
Lydia,Highly Suspect,51874381
All The Small Things,blink-182,381956118
Can't Deny Me,Pearl Jam,7684408
Boom,P.O.D.,77110882
Prayers,Good Charlotte,4228410
In Bloom - Nevermind Version,Nirvana,102629845
Bed Of Roses,Bon Jovi,112672697
Black Hole Sun,Soundgarden,251021601
L.A. Woman,The Doors,61387007
Cold as Ice,Foreigner,70801300
Give It Away,Red Hot Chili Peppers,137574142
Young And Menace,Fall Out Boy,57336700
Metalingus,Alter Bridge,42902617
I Surrender,Rainbow,18777418
Told You So,Paramore,55866870
I Was Made For Lovin' You,KISS,219236171
Calendar Days,Knuckle Puck,2420782
The Kill,Thirty Seconds To Mars,202838863
Walk Of Life,Dire Straits,191763565
Fat Lip,Sum 41,164040678
Do I Wanna Know?,Arctic Monkeys,726104395
I Won't Back Down,Tom Petty,105593836
Roots,In This Moment,15636757
Don't Stay,Linkin Park,58773481
I Miss the Misery,Halestorm,75418542
Feel Like Makin' Love - 2015 Remaster,Bad Company,67618743
Otherside,Red Hot Chili Peppers,357301501
Old Man - 2009 Remaster,Neil Young,72758209
Friday I'm In Love,The Cure,219284250
